CNTYVTD,trump,clinton,color
350008,1184,234,#f66
350009,442,101,#f66
350010,687,189,#f66
350011,421,74,#f66
370007,1657,741,#f66
370009,1130,528,#f66
370010,1052,238,#f66
370011,1396,199,#f66
370012,1237,202,#f66
370013,1255,373,#f66
370014,1061,450,#f66
370015,314,47,#f66
370016,783,117,#f66
370017,869,177,#f66
370018,1240,314,#f66
370019,405,52,#f66
370020,264,212,#faa
370021,125,61,#f66
370022,164,54,#f66
370024,353,41,#f66
370025,665,183,#f66
370027,416,44,#f66
370028,446,49,#f66
370029,190,37,#f66
390001,1463,676,#f66
390002,1579,648,#f66
390003,1269,393,#f66
390004,1295,530,#f66
390005,686,298,#f66
390006,615,124,#f66
390007,212,242,#aaf
390008,504,135,#f66
390009,251,131,#faa
390010,432,72,#f66
390011,891,372,#f66
390012,1217,450,#f66
390013,1619,823,#faa
390014,2097,703,#f66
390015,1145,179,#f66
390016,990,334,#f66
390017,194,304,#aaf
390018,346,286,#faa
390019,431,466,#aaf
390020,639,177,#f66
390021,896,713,#faa
390022,2049,495,#f66
390023,1809,648,#f66
390024,1776,571,#f66
390025,962,213,#f66
390026,1182,578,#f66
390027,999,522,#faa
390028,2229,949,#f66
390029,813,983,#aaf
390030,1584,243,#f66
390031,527,144,#f66
390032,1142,364,#f66
390033,706,395,#faa
390034,1707,487,#f66
390035,774,137,#f66
390036,1621,732,#f66
390037,124,358,#66f
390038,318,89,#f66
390039,822,353,#f66
390040,1718,471,#f66
390041,1181,277,#f66
390042,238,129,#faa
390043,1914,603,#f66
390044,1643,1678,#aaf
390045,1780,471,#f66
390046,1045,328,#f66
390047,1081,462,#f66
390048,899,465,#faa
390049,736,124,#f66
390050,1004,1309,#aaf
390051,1923,395,#f66
390052,1289,396,#f66
390053,213,449,#66f
390054,812,948,#aaf
390055,1109,541,#f66
390056,1798,738,#f66
390057,1388,303,#f66
390058,607,578,#faa
390059,998,1511,#aaf
390060,1782,1161,#faa
390061,2335,715,#f66
390062,1153,1225,#aaf
390063,494,1064,#66f
390064,13,3,#f66
390065,668,193,#f66
390066,0,0,#ddd
390067,740,1065,#aaf
390068,386,502,#aaf
410001,669,163,#f66
410002,2328,576,#f66
410003,324,198,#faa
410004,61,753,#66f
410005,783,170,#f66
410006,477,90,#f66
410007,887,119,#f66
410008,494,349,#faa
410009,603,273,#f66
410010,1440,425,#f66
410011,730,529,#faa
410012,1783,825,#f66
410013,926,381,#f66
410014,254,603,#66f
410015,1257,445,#f66
410016,120,305,#66f
410017,731,665,#faa
410018,30,194,#66f
410019,60,83,#aaf
410020,607,247,#f66
410021,73,83,#aaf
410022,68,76,#aaf
410023,60,12,#f66
410024,815,423,#faa
410025,40,470,#66f
410026,776,299,#f66
410027,1591,289,#f66
410028,209,20,#f66
410029,322,178,#faa
410030,533,555,#aaf
410031,1454,869,#faa
410032,2,0,#f66
410033,250,324,#aaf
410034,1178,767,#faa
410035,921,519,#faa
410036,993,541,#faa
410037,103,15,#f66
410038,7,143,#66f
410039,1842,824,#f66
410040,2125,858,#f66
410041,2183,531,#f66
410042,3,0,#f66
410043,7,8,#aaf
410044,65,13,#f66
410045,69,17,#f66
410046,94,61,#faa
410047,124,60,#f66
410048,117,22,#f66
410049,52,26,#faa
410052,3,0,#f66
410053,1,0,#f66
410056,7,3,#f66
410057,41,73,#aaf
410058,126,42,#f66
410059,13,1,#f66
410060,57,2,#f66
410061,30,4,#f66
410062,2,0,#f66
410063,2259,632,#f66
410064,0,2,#66f
410065,82,17,#f66
410067,88,54,#faa
410068,1,0,#f66
410069,1115,341,#f66
