CNTYVTD,Trump,Clinton,winner,population,registered,turnout,percentSpanishSurname
2730034,271,77,Trump,622,556,361,21.9
2730035,324,264,Trump,1949,1049,615,68.8
2730041,62,170,Clinton,1097,581,240,87.8
2730042,115,275,Clinton,1632,898,411,89
2730043,306,413,Clinton,2728,1528,768,71.7
2730044,98,137,Clinton,1073,531,251,63.3
2730045,74,304,Clinton,1463,846,394,88.9
2750101,327,68,Trump,920,660,402,21.7
2750201,122,14,Trump,339,199,139,6
2750202,135,32,Trump,589,359,174,27.6
2750301,204,50,Trump,796,488,264,23.8
2750302,47,4,Trump,140,88,54,4.5
2750401,243,79,Trump,935,650,334,31.5
2790001,382,110,Trump,1870,1055,522,52.7
2790002,121,120,Trump,1554,899,262,60.7
2790003,318,60,Trump,1405,758,387,43.9
2790004,40,2,Trump,133,88,34,20.5
2790005,114,35,Trump,891,497,155,47.5
2790006,121,39,Trump,672,376,168,43.6
2790007,67,5,Trump,284,178,60,15.2
2790008,877,194,Trump,3291,2122,1146,34.5
2790009,349,98,Trump,1581,1004,463,33.5
2790010,192,49,Trump,885,447,258,28.4
2790011,353,49,Trump,1118,692,428,26
2790012,106,9,Trump,293,187,120,15.5
2810001,807,270,Trump,2622,1912,1164,7.9
2810002,1668,361,Trump,4315,3298,2163,9.6
2810003,662,203,Trump,3603,1960,943,20.4
2810004,618,113,Trump,1611,1293,787,7.6
2810005,317,33,Trump,602,479,364,1.3
2810006,274,38,Trump,569,451,326,3.8
2810007,380,63,Trump,1348,872,475,18.2
2810008,841,217,Trump,2756,1843,1123,8.5
2810009,818,185,Trump,2251,1678,1068,8
2830001,299,270,Trump,1375,1040,609,63.6
2830002,96,136,Clinton,1738,626,248,85.9
2830003,151,318,Clinton,1279,1033,500,86.9
2830004,53,5,Trump,95,99,60,21.2
2830005,162,264,Clinton,1746,907,437,77.1
2830006,104,135,Clinton,628,449,247,74.6
2850001,587,94,Trump,1653,1026,698,3.2
2850002,778,168,Trump,1968,1443,963,7.6
2850007,142,30,Trump,308,233,175,6
2850008,445,43,Trump,859,708,499,4.2
2850009,703,130,Trump,1820,1334,858,7
2850011,192,25,Trump,440,307,220,7.8
2850012,223,24,Trump,415,360,255,3.3
2850015,106,18,Trump,199,172,124,2.3
2850016,301,32,Trump,613,459,338,4.8
2850017,205,20,Trump,291,286,228,2.8
2850019,233,17,Trump,445,385,262,11.7
2850020,65,13,Trump,119,114,79,7
2850023,709,115,Trump,1985,1312,859,11.7
2850026,109,50,Trump,1089,380,163,36.8
2850027,118,13,Trump,251,201,133,1.5
2850029,658,113,Trump,1659,1229,796,7
2850030,892,149,Trump,3080,1819,1065,19.1
2850031,705,95,Trump,1540,1145,819,5.5
2850032,176,21,Trump,529,346,199,14.7
2870101,706,256,Trump,3493,1713,988,17.5
2870102,84,75,Trump,379,286,163,4.2
2870103,149,17,Trump,339,251,170,1.6
2870201,377,26,Trump,739,565,417,4.1
2870202,865,158,Trump,2867,1588,1050,13.8
2870203,223,34,Trump,451,384,263,3.6
2870301,92,9,Trump,190,137,105,5.1
2870302,687,185,Trump,2041,1411,900,3
2870303,597,164,Trump,1743,1188,797,7.6
2870304,113,32,Trump,235,204,150,2.5
2870401,304,122,Trump,1028,731,435,7.5
2870402,49,39,Trump,257,150,90,0
2870403,155,41,Trump,392,269,197,8.6
2870404,325,163,Trump,1676,904,499,20.8
2870405,271,51,Trump,782,513,334,4.3
2890001,831,132,Trump,2113,1558,990,4.7
2890002,226,30,Trump,487,345,264,5.5
2890003,339,44,Trump,817,567,391,2.8
2890004,480,79,Trump,1305,857,570,4.4
2890005,339,43,Trump,649,517,390,1.7
2890006,690,72,Trump,1180,1052,780,2.4
2890007,375,30,Trump,977,622,411,6.3
2890008,584,92,Trump,2078,1066,689,10.6
2890009,216,12,Trump,445,348,235,4.3
2890010,617,52,Trump,1679,1013,688,5.7
2890011,485,82,Trump,1992,1021,586,10.1
2890012,376,136,Trump,1239,845,529,3
2890013,439,44,Trump,897,678,498,1.8
2890014,114,19,Trump,274,210,135,4.3
2910001,346,50,Trump,1467,822,409,3.8
2910002,604,68,Trump,1622,1110,682,3.7
2910003,1188,123,Trump,2871,2035,1339,4.5
2910004,272,68,Trump,887,562,353,11
2910005,1075,260,Trump,4395,2282,1379,11.7
2910006,518,52,Trump,1416,1016,587,5.3
2910007,670,281,Trump,4077,2005,977,10.5
2910008,1079,126,Trump,3009,2073,1234,3.4
2910009,1268,130,Trump,3342,2385,1440,2.3
2910010,1347,362,Trump,5163,3144,1764,7.6
2910011,248,205,Trump,1076,830,459,3.5
2910012,568,191,Trump,2843,1695,790,15.9
2910013,291,28,Trump,1022,664,329,2.3
2910014,244,43,Trump,4755,538,294,10
2910015,199,63,Trump,793,518,266,4.1
2910016,214,32,Trump,523,385,249,4.4
2910017,320,28,Trump,945,601,359,4.7
2910018,178,469,Clinton,2077,1277,653,5.1
2910019,668,318,Trump,2971,1812,1024,8.7
2910020,30,416,Clinton,1729,988,454,0.8
