PrecinctKey,color
Pima 0234,#aaf
Pima 0206,#faa
Pima 0191,#faa
Pima 0069,#aaf
Pima 0092,#aaf
Pima 0216,#faa
Pima 0164,#66f
Pima 0030,#aaf
Pima 0018,#66f
Pima 0166,#66f
Pima 0130,#faa
Pima 0038,#aaf
Pima 0181,#faa
Pima 0170,#aaf
Pima 0040,#faa
Pima 0082,#66f
Pima 0174,#aaf
Pima 0165,#f66
Pima 0015,#faa
Pima 0207,#aaf
Pima 0077,#faa
Pima 0141,#faa
Pima 0086,#66f
Pima 0060,#faa
Pima 0136,#66f
Pima 0033,#66f
Pima 0010,#faa
Pima 0021,#aaf
Pima 0073,#66f
Pima 0131,#faa
Pima 0120,#aaf
Pima 0236,#66f
Pima 0072,#66f
Pima 0187,#faa
Pima 0148,#aaf
Pima 0140,#faa
Pima 0019,#faa
Pima 0109,#faa
Pima 0163,#aaf
Pima 0044,#66f
Pima 0102,#66f
Pima 0025,#66f
Pima 0135,#66f
Pima 0222,#faa
Pima 0115,#faa
Pima 0169,#faa
Pima 0089,#66f
Pima 0218,#aaf
Pima 0067,#66f
Pima 0238,#aaf
Pima 0246,#66f
Pima 0084,#faa
Pima 0095,#faa
Pima 0227,#faa
Pima 0210,#66f
Pima 0088,#aaf
Pima 0002,#faa
Pima 0078,#66f
Pima 0211,#aaf
Pima 0248,#66f
Pima 0159,#66f
Pima 0235,#66f
Pima 0014,#faa
Pima 0094,#66f
Pima 0096,#66f
Pima 0156,#aaf
Pima 0037,#66f
Pima 0063,#66f
Pima 0087,#66f
Pima 0186,#aaf
Pima 0043,#66f
Pima 0071,#66f
Pima 0124,#aaf
Pima 0139,#aaf
Pima 0083,#faa
Pima 0182,#faa
